m/z,Jant_AD80_1,Jant_AD80_2,Jant_AD80_3,Serratia_PRI_1,Serratia_PRI_2,Serratia_PRI_3,TSB-agar__1,TSB-agar__2,TSB-agar__3
150.9749894,0.00038999,0.001493555,0.001700109,0.005057726,0.000553992,0.000810849,0.00184096,0,0.006025445
152.9902644,0.000199891,0.001881479,0.00264962,0.01167032,0.000384115,0.000733145,0.00142336,0.000240272,0.002307804
157.1125936,8.30E-05,0.006261773,5.65E-05,0.008600066,3.64E-05,0.000628061,0.003493331,0.000222856,0.00017111
162.9060333,0.000545416,0.002207869,0.001392162,0.004584687,0.000730083,0.001459067,0.001272414,0.000301007,0.00021554
165.0000729,0.000880223,0.000891598,0.005381649,0.005889142,0.002491027,0.001715646,0.002199072,0.000286507,0.004099337
167.0075308,0.002035804,0.005646462,0.007354999,0.010338924,0.002705353,0.001928804,0.002647678,0.000279372,0.010411359
167.070327,0.001461375,0.002486381,0.00351698,0.004465698,0.001873834,0.001511932,0.002761445,0.000392023,0.004597708
168.0351525,0.000713671,0.002007885,0.000321705,0.002925154,0.000683926,0.000573603,0.001124335,0.000391564,0.001791771
168.8549525,0.001147397,0.007504974,0.002426954,0.009923144,0.001891057,0.00204447,0.00502851,0.000391174,0.00221337
168.9716495,0.003133466,0.010189183,0.009719059,0.009589008,0.002094262,0.00301827,0.005711711,0.000424335,0.01216578
169.0900394,0.002718559,0.009484587,0.010016021,0.006622297,0.001717677,0.002057383,0.002593644,0.000410732,0.01113518
170.9484858,0.001948991,0.007317322,0.009055314,0.004596579,0.002139726,0.002631433,0.004837026,0.000403896,0.007746544
171.0719995,0.00327322,0.010749981,0.010998191,0.014309178,0.004107582,0.004668583,0.00871221,0.000375766,0.013922134
172.0906767,0.002180561,0.008270311,0.006256901,0.01014044,0.003312,0.002972372,0.003022656,0.002480031,0.00175533
172.9573795,0.002030611,0.000783286,0.004494151,5.07E-06,0.002480854,0.001667484,0.004904431,0.00217022,0.002653571
173.0657593,0.003067019,0.009952724,0.010448244,0.010928488,0.003829617,0.003121919,0.003568284,6.90E-05,0.013170816
174.0422065,0.001720269,0.007860097,0.005300364,0.013320692,0.002048666,0.001630822,0.001167549,0.000497946,0.000532527
175.0040593,0.002642258,0.008375397,0.010569819,0.015048838,0.002310863,0.002383406,0.003868562,0.000503375,0.01027105
175.0634,0.002499991,0.011175396,0.004743019,0.007887784,0.001874445,0.002100838,0.003054456,0.000817619,0.009490103
176.9774128,0.00150876,0.002452607,0.00509235,0,0.002494193,0.002778097,0.005427931,0.000941032,0.004285181
177.034945,0.002438904,0.00930708,0.007170519,0.024714989,0.002796567,0.002963221,0.005038976,0.000861806,0.008538804
179.052187,0.00420146,0.022610724,0.017641107,0.042072762,0.00394995,0.003771427,0.005665525,0.005476073,0.025706709
179.1487525,0.002013798,0.003070748,0.005730808,0.000755275,0.001654815,0.002212222,0.002539697,0.003870667,0.003074894
180.0639394,0.001076378,0.003146222,0.002114469,0.008993028,0.00101501,0.000968325,0.001382197,0.004337206,0.004487594
180.9820192,0.006027589,0.001840319,0.009843408,0.004646078,0.006913119,0.00323435,0.005405696,0.007338734,0.006296601
181.0194604,0.006582602,0.042653878,0.050745765,0.053297957,0.007211894,0.004433074,0.006537679,0.011003066,0.070262408
181.0856102,0.005398017,0.007242748,0.009864226,0.004676573,0.004277024,0.002855483,0.00414406,0.005766563,0.012911039
182.0029418,0.001943666,0.008619467,0.010374161,0.011462087,0.001627288,0.001184812,0.001749868,0.003799987,0.015434552
