"","BurAD24_1","BurAD24_2","BurAD24_3","ColTer10_1","ColTer10_2","ColTer10_3","ColTer282_1","ColTer282_2","ColTer282_3","ColTer291_1","ColTer291_2","ColTer291_3","ColTer331_1","ColTer331_2","ColTer331_3","ColTer6_1","ColTer6_2","ColTer6_3","ColTer91_1","ColTer91_2","ColTer91_3","DyAD56_1","DyAD56_2","DyAD56_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3","TSB-agar_1","TSB-agar_2","TSB-agar_3"
"group","BurAD24","BurAD24","BurAD24","ColTer10","ColTer10","ColTer10","ColTer282","ColTer282","ColTer282","ColTer291","ColTer291","ColTer291","ColTer331","ColTer331","ColTer331","ColTer6","ColTer6","ColTer6","ColTer91","ColTer91","ColTer91","DyAD56","DyAD56","DyAD56","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI","TSB","TSB","TSB"
"157.1/78","5264.58317406476","0","3257.60500110313","3016.17251912979","0","0","0","1028.869217821","8162.64250976562","207294.993642411","0","1524.66460046172","3309.40605889186","81200.7520509341","1344.52102925722","0","0","0","592.147454962833","0","0","352275.111519057","0","0","0","0","0","38411.8523255762","0","343355.154296875","0","0","0","381559.527371721","0","1347.42299567047","214164.398168752","30445.5968237546","2016.28454426001"
"167/56","108979.899904373","120041.785751571","107009.75566207","194522.003112508","225693.100903315","681.890524607933","4550.45764876954","47354.8005419128","0","661.951725932503","13870.872746582","0","78439.5849861535","201085.788288225","55680.1943022635","13964.2485144313","4439.79661541748","279955.629845293","667.927809775923","1411.80382659473","29085.4183527483","33981.3988744872","21079.041805258","9595.27881355504","105669.402745888","50537.3286261491","74999.3893449046","9380.33507893005","1198054.28583417","16133.8930157984","115308.898769323","126050.22373981","137220.748480047","235859.67077396","191092.613529614","25868.7415557547","1717.47680868162","100608.658589209","143194.809904963"
"169/48","169652.734598726","141187.912575334","118183.100874401","140646.233238034","114794.689281393","0","54522.6157875427","2254.53535141392","0","0","73918.7772145541","625.013232058845","77746.634770695","105209.842541692","43182.8597573824","45238.0955553236","85404.7189160157","159753.777370595","0","0","55107.011621933","86270.2640915152","17719.9892190885","20954.3291729736","144023.101854633","117213.422287544","105076.289144329","114830.114538391","183365.794828654","37430.644764407","196376.144994953","168430.97636231","263988.73521348","227579.312783203","215949.40869703","60725.6286207687","31416.1879394531","162498.643247705","204552.051737401"
"170/79","3011.62600624142","0","928.169622478075","0","0","0","0","0","0","0","0","0","1620.27688466012","3696.20356773958","0","1439.84584909037","888.406427053269","0","0","0","0","0","0","0","3809.20167868026","0","0","9345.28545336915","0","5209.58906070698","6957.02457131259","0","0","10042.2169156184","4172.10731166112","918.745892850333","4623.19139160156","23663.0286205566","1941.19606368756"
"171.1/39","10555.2426548637","7116.56838664063","46523.3768847656","15625.1145445449","6596.43238420665","0","1164.24426372396","193067.659655496","4399.47837970784","0","18355.6520965576","0","8154.93012341469","24026.2622979736","1452.82341959432","19349.120165098","73812.0173950196","6291.9887452373","0","0","55076.769770595","49624.7540403125","0","56266.2864597149","17713.7445978746","6528.54925296083","4428.99404082155","21866.6079711365","14888.7410782373","5108.13970214844","18155.2931604335","22775.5238984521","0","99537.0743858479","58243.9085564443","0","1456.26117698712","8404.83467223511","31452.1085448368"
"171.1/49","103759.60667283","74531.8316727926","57733.7916520482","131307.131478071","34238.8023796808","0","20516.0973520869","52095.228584415","108147.326762256","192929.134421362","22758.4271784629","80009.1773104854","24668.5207221656","36313.5956553284","15453.9755122801","349047.809514362","302761.674593506","134816.828205318","7585.44247608269","0","4899.32237585815","196704.447411661","20156.6575913771","1056.01711007068","78623.8164195299","109499.68768032","91400.6445438773","106009.328613281","104548.578050542","160340.967484848","124693.632159153","127548.214741231","130265.646010632","373141.344343878","338781.689154149","169655.16563484","300944.966535727","11595.6564793091","90361.2401166798"
"173/25","69729.1831690706","14751.3381547965","11155.1457344613","49921.7296088793","25635.0377648714","0","23405.1101834776","35926.8053178772","39741.9477633072","0","10093.7774293721","0","21240.6908747992","110598.811553009","6351.31433357787","50303.1606271025","65939.476640625","27700.3616414488","0","853.082234981664","45375.9434957682","34038.774609375","2508.1298140781","3353.59803199584","83413.1733227588","35231.9607748357","39799.5367687577","43958.1602183024","40692.3319059448","99958.1105980016","106743.179618231","75727.2956414241","74245.8399649345","15528.0126955078","117648.793723215","44271.5744513044","0","162290.738805217","44969.175857544"
"175/44","42204.0983246466","27811.8997683919","14287.3022455826","107833.507449925","26763.6106446102","0","14326.0261202946","0","0","0","15581.3659536969","0","49888.0759062849","96305.8090606655","4309.26690892503","12498.282490997","18969.0939616796","47803.5412878916","0","0","21506.6444986979","73707.9327934961","2419.84266979496","1565.43996863428","73344.9263135498","58424.2828431888","44041.6110598492","46493.3678744922","52029.1863271811","12483.9218946838","59024.4910429856","129945.884560803","52508.385980878","14767.2380181885","80821.4721194624","36272.8421548214","659.911177321337","276171.448531417","152088.462876555"
"177/38","147671.226230077","62248.8550155047","7896.2451520459","62594.4430927065","41573.0514996778","0","32454.6069994778","46755.5236656942","12779.7753660995","0","9178.3768003237","0","49667.8527814209","221868.962356708","9777.42150682457","44651.5160582273","16904.0321015625","15799.7082718213","0","0","35026.0345192209","48662.8227659347","674.644861907512","9560.16339283565","190655.207659422","14078.0164472656","49550.5792141967","142071.099566602","89792.1568195283","325020.65666687","344106.830283214","137562.466576664","165315.849209511","8939.84964988403","349582.865374251","112933.58808765","0","5415.47653756592","141874.460724354"
