"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"157.1/84","1615.01193016803","17349.3755600508","1428.3717414398","0","29755.9547241777","0","493964.42921875","0","1045324.95676595","425438.90039505","0","2967.15676542697"
"169/36","62995.0957315784","105209.842541692","31364.5275231842","106869.097942238","85101.4548872071","83827.0311688296","114830.114538391","132737.975840872","90113.2562411499","186940.179573164","137972.246517388","35340.0330066858"
"169.1/44","31678.1995406302","69043.3982173679","12790.8177669922","82280.6605436462","103008.528870173","86556.2079513397","43596.0328983561","99951.5991148734","37430.644764407","121770.730802318","131097.34775321","71732.0220716701"
"171/62","24156.6169618267","178196.482056217","2690.21238910723","28624.2853296533","7547.69886996178","4477.32735584734","21866.6079711365","14888.7410782373","5108.13970214844","88457.7666552709","143606.374530975","7598.1642193355"
"173/52","28326.6155354194","40313.5250866516","8975.33948349825","63229.53834299","44245.9126081821","51946.1337246764","45646.2818854614","40692.3319059448","12997.6567859361","15528.0126955078","88760.8964773035","30364.4545810809"
"175.1/47","49888.0759062849","52919.5434733429","3005.15248342503","73344.9263135498","46991.2028908897","63347.7593526877","46596.9804345703","42679.2842089556","12483.9218946838","14767.2380181885","59053.1019738819","20044.7463498157"
"177/49","49667.8527814209","221868.962356708","0","118272.179614975","14078.0164472656","24327.5840028306","135878.520425795","62903.814797667","325020.65666687","8939.84964988403","251574.528258604","81546.5722728794"
"179.1/37","4706.69953110718","78811.091202956","43695.9031248965","768518.778430939","337274.696358076","273397.402199793","567308.058071777","453676.714221319","1715427.32352051","2877929.74203125","878579.041283789","5426.47826060761"
"181/39","931801.471911991","1934423.31693209","1475637.89219455","28441.9873656738","1284020.44896418","2134260.38222465","2230246.43354883","22068.714953125","705575.647083252","5167891.7521875","4410605.62019579","680636.424208734"
"182/37","62876.7310806115","80527.040112023","89902.9183789184","183159.191211216","70061.2493855365","130766.632413765","100863.329859961","247795.646675267","68819.8754206848","315460.805611417","290827.073445144","47002.5785573453"
"185/62","44684.5107612012","69762.5421688058","4546.2906361192","62854.9771240235","17598.2518220795","41996.9359754771","33414.7309313192","17928.0747639161","80997.6584667331","87924.2687565545","44572.3559385717","8639.14258419629"
"186.1/30","12928.3322286196","4638.31222447548","3066.37247683127","409823.01169255","192533.035118745","338784.606612318","70020.1808310981","61976.1467824517","188489.158979492","17548.5923378369","259678.130752159","212819.354948246"
"189/40","25221.2475265476","62610.7358053049","6529.90751845606","20879.0614538086","2549.10550775975","8294.41694352985","121175.145274658","160522.047923411","11371.2248638916","180703.852670898","43271.5224313239","10737.1575686343"
"193.1/39","93972.6775264847","30423.646334141","21546.4892951554","153169.426242782","81068.2719087737","155655.127600632","67884.673077956","443783.783772984","5751.05366657654","305312.364775911","192909.209757305","63734.1638689977"
"194.9/36","133219.9475","25103.6889183278","0","17511.7717458099","0","4977.73759250995","21496.9203632813","18253.6475749284","27435.5637106001","502757.073758789","0","129469.356127832"
"195.1/18","48675.9468376957","0","20131.5052333213","129068.648511686","154040.443625793","180907.62233959","95607.4111198242","139426.453221413","118644.026578613","54187.506505001","208141.615303063","87246.3260404803"
