"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"157.1/84","1615.01193016803","17349.3755600508","1428.3717414398","0","29755.9547241777","0","196080.93203125","0","1045324.95676595","0","0","0","425438.90039505","0","2967.15676542697"
"169/36","62995.0957315784","105209.842541692","31364.5275231842","106869.097942238","85101.4548872071","83827.0311688296","114830.114538391","132737.975840872","90113.2562411499","160420.60185181","91853.3777020954","222533.037718336","186940.179573164","137972.246517388","35340.0330066858"
"169.1/44","31678.1995406302","69043.3982173679","12790.8177669922","82280.6605436462","103008.528870173","86556.2079513397","43596.0328983561","99951.5991148734","37430.644764407","144626.027034386","155632.109519322","146320.18861271","121770.730802318","131097.34775321","71732.0220716701"
"171/62","24156.6169618267","178196.482056217","2690.21238910723","28624.2853296533","7547.69886996178","4477.32735584734","21866.6079711365","14888.7410782373","5108.13970214844","28390.2512758031","0","4231.88884340185","88457.7666552709","143606.374530975","7598.1642193355"
"173/52","28326.6155354194","40313.5250866516","8975.33948349825","63229.53834299","44245.9126081821","51946.1337246764","45646.2818854614","40692.3319059448","12997.6567859361","106693.839634111","87205.9698531151","87405.4004460033","15528.0126955078","88760.8964773035","30364.4545810809"
"175.1/47","49888.0759062849","96305.8090606655","3005.15248342503","73344.9263135498","46991.2028908897","63347.7593526877","46596.9804345703","42679.2842089556","12483.9218946838","62748.3116493613","96697.4232260555","38509.6856031921","14767.2380181885","59053.1019738819","20044.7463498157"
"177/49","49667.8527814209","508225.401279995","0","118272.179614975","14078.0164472656","24327.5840028306","135878.520425795","62903.814797667","325020.65666687","212491.592761293","136757.762440246","120539.524594285","8939.84964988403","251574.528258604","81546.5722728794"
"179.1/37","4706.69953110718","78811.091202956","43695.9031248965","768518.778430939","337274.696358076","273397.402199793","567308.058071777","453676.714221319","1715427.32352051","1313357.38974381","538732.9325065","649375.163047512","2877929.74203125","878579.041283789","5426.47826060761"
"181/39","931801.471911991","1934423.31693209","1475637.89219455","28441.9873656738","1284020.44896418","2134260.38222465","2230246.43354883","22068.714953125","705575.647083252","2932098.75213964","14217.0830859375","30377.5146223828","5167891.7521875","4410605.62019579","680636.424208734"
"182/33","26761.2397253482","80527.040112023","41545.7139982707","91826.5187646283","46369.5990657301","92208.4220812231","30538.6880767205","165734.826969013","68819.8754206848","127151.550457737","81190.0188622901","22403.087746875","416674.265671631","172223.051958716","34232.0766470635"
"185/62","44684.5107612012","69762.5421688058","4546.2906361192","62854.9771240235","17598.2518220795","41996.9359754771","33414.7309313192","17928.0747639161","80997.6584667331","37108.2050223649","16185.8872708725","14473.871934652","87924.2687565545","44572.3559385717","8639.14258419629"
"186.1/30","12928.3322286196","4638.31222447548","3066.37247683127","409823.01169255","192533.035118745","338784.606612318","70020.1808310981","61976.1467824517","188489.158979492","538628.707941305","762315.825744941","519859.060307829","17548.5923378369","259678.130752159","212819.354948246"
"189/40","25221.2475265476","62610.7358053049","6529.90751845606","20879.0614538086","2549.10550775975","8294.41694352985","121175.145274658","160522.047923411","11371.2248638916","33789.2404050906","24802.4686723016","15554.613323235","180703.852670898","43271.5224313239","10737.1575686343"
"193.1/37","69555.2812600129","30423.646334141","17254.7785144205","117670.290693543","62445.785496535","113763.673673023","67884.673077956","355968.029086143","5751.05366657654","127752.035313279","115965.297090945","16442.7930631836","281253.992726507","149076.232679982","47049.4349687899"
"194.9/35","133219.9475","25103.6889183278","576.521119971527","17242.8943982244","0","6928.84900955693","21496.9203632813","19317.9492776036","50337.3928659083","340074.188801302","8097.34553537797","12412.033084064","73215.7501773031","0","129469.356127832"
"195.1/18","48675.9468376957","0","20131.5052333213","129068.648511686","154040.443625793","180907.62233959","95607.4111198242","139426.453221413","98676.4387394043","161976.304425016","219249.148638831","223023.818568915","54187.506505001","208141.615303063","87246.3260404803"
"197.1/53","7230.03101196289","65746.6369732666","12864.7688007231","111800.794587547","103763.857852609","209257.031590579","17799.2540859375","98354.3736196831","82345.6104614258","165087.401935048","197330.948326588","236745.11603461","50008.2827227809","126352.372742983","47535.5116266865"
"200.1/24","39188.688662974","0","11499.7116446762","429497.28589938","286785.517899103","437167.171453462","50047.4517842285","21448.863307196","112873.293697552","375387.552616851","658187.691251662","354392.983005436","59937.3026990228","200072.504944106","278528.37078551"
"200.2/86","0","0","0","5119.12335980087","14046.8999633789","0","74385.4577400984","0","52359.6065976563","0","0","3051.52155181812","30615.4114876483","0","29087.0292219319"
"201.1/51","26210.0200180889","47574.2764137817","3902.13552800283","26453.4181530755","25481.4692353075","18052.8046256271","49323.0849434428","25239.1782924101","32662.4074124146","43368.1356569879","44359.4587530255","32953.5056347772","55522.9935746765","45387.2635766275","19006.2499665704"
"202.1/24","2160.57140328536","460.217535391462","1549.11109842004","88807.104913376","17677.0637458169","55446.8713996932","112398.280558036","41692.2696744865","260871.688571721","105173.388923458","92473.4498718547","67873.0779162641","173797.276500124","521857.125009798","263645.392641704"
"203.1/41","26149.5460766618","49490.6152206743","2611.5452742114","22196.9853477025","5941.23088308808","14900.0992408496","38979.2372959188","8907.44980915061","10230.9381881058","32240.1255573495","28630.394931966","22922.4247401607","205017.606625976","50431.9223388412","7181.16846264649"
"207.1/38","4970.20715112305","123823.365410506","57207.9396739049","431140.35583617","454939.74868918","646173.283052444","313057.951251856","654394.146795362","129636.257513898","526834.882114083","746508.311522283","789652.403366201","180316.239806665","653822.33535831","195007.175697215"
"208.8/70","23598.6562815453","0","0","353610.819570257","469984.600125683","13153.3091058731","0","0","0","551816.646478486","344216.290010205","232446.75493521","0","366825.229197494","66968.8866231452"
"209/37","434244.980278068","383892.110991211","107428.140930536","740767.523529629","233548.049812844","278146.463209925","800812.707148438","16762.3500585791","718855.178786621","684162.981458077","384462.011579043","525165.603870887","977482.697734374","16161.7448055469","123865.017450964"
"210/44","15599.4811617499","13423.2035809234","820.502785516437","17604.818722669","0","2279.37443677718","14349.4492333984","0","32572.6224170685","14115.0884556935","3510.29595040033","7105.28960957099","14828.7853845215","9552.95815245062","0"
"210.8/56","0","0","0","769311.385235962","386670.939183779","13929.9348167001","22630.6441928045","0","0","501604.71058012","417686.721803906","218330.216654554","0","264846.989580835","56509.7461216178"
"212.8/51","0","0","0","205973.71471663","382101.394338393","9349.77756934483","271529.330372205","0","1496.4129116834","178502.291835229","285505.224243944","118755.815351212","0","122113.641476646","53752.5758627113"
"213.1/54","12335.2036794194","22747.8915613169","11430.8714083564","45011.3822395541","58431.1722479071","95408.5921457987","10186.2875983887","15610.5423643506","12201.0051366406","190338.134821348","301101.78229028","80657.1506700246","35310.415672678","68590.7215351565","42263.1172154099"
"213.1/40","27984.7115104221","647.384762920544","23542.5087818918","84128.4907268878","121613.385164477","263643.164954315","92006.6948074219","139101.353358722","110848.237777793","442616.025262295","566356.764778237","191935.013706657","98534.4072423169","162493.944329571","94990.1192058355"
"215.1/65","41987.4673712494","39151.7738834839","7619.00010999944","71269.7696201869","45064.9946135532","29173.9998878539","25898.2327554484","32419.0404341767","3450.31503738118","48553.7088147178","85318.8015909959","65802.4631470852","35448.0076407617","57884.1196799576","8399.16387110762"
"217/47","14343.8132036133","55179.7709956421","9979.9529124028","4541.49502913095","2700.89881687456","2335.55356940487","45778.5281491252","4530.21902757604","29187.6587681112","8204.18655347079","4079.20243585911","3296.27460005991","69413.3668590328","133896.323129931","4756.15868904442"
"223.1/37","58445.7910144348","64668.2899863443","41867.7453322493","277837.862689427","285918.118705809","441926.203236245","260738.827159937","395153.99703361","73649.2660773054","362106.467020288","448083.058362287","518817.274829773","144318.718998176","431202.314258739","126624.386599164"
"225.1/58","21436.2715054527","31449.3251679565","7958.85735282674","68235.057087976","13383.242578125","66686.0437260447","30068.3443486328","58994.8891877588","65547.5653174316","130204.400809653","84195.7259190828","94287.9358884208","106434.480636515","58616.3113766648","11698.0427359566"
"227.1/38","151433.226554722","87328.167722168","23348.0736544255","343223.808937334","331084.566462845","137409.035550778","43829.4549511719","34845.3082629272","53190.27747227","174967.774257536","160917.704249642","188447.214975384","180548.802282237","180264.276053335","79680.3314597934"
"231.1/33","23763.6424967734","16066.4229507341","2542.714412646","25576.6695495117","9188.91846253909","5673.20890070515","105219.708176953","155958.883122949","43951.7879129448","152571.950298755","249223.05006861","391104.866810158","88544.7027076318","36845.2848021286","6004.92376677058"
"239/65","110087.574458545","37188.7600149214","696.105823316379","25245.7211797982","153270.362088507","147054.505714178","18696.295480957","122160.58570991","13085.8631811523","193404.946384355","276404.16466983","190385.68327494","31089.2498447701","220092.884531906","10275.0914614326"
"241.1/39","273825.922085689","259290.174918119","50016.2164790481","597649.001534767","1109839.48750417","246749.606180518","73447.9189281738","165228.140899966","68706.5433554827","212041.115497852","265473.43784095","14657.2595165625","3685.16984521484","189643.216708945","139429.078759295"
"242.2/33","103293.244940041","268677.089556362","167248.183038942","560980.713034835","14601.0503921509","1059654.67144931","383246.713030669","1144203.99558722","331716.58492839","18990.8952037793","1207435.54768142","1314455.48078254","667570.75108429","1126478.98796966","514656.623121929"
"243.1/37","13858.8425045801","73481.4663700984","11550.5067049254","117442.813254319","126177.261610896","44922.1046805382","80470.9375279175","30864.0111007874","27201.5697973144","115912.398576161","76782.5851440347","67596.2337247972","394677.925151215","28354.7338538574","35466.1028837135"
"244.1/35","113966.001200145","134763.482375663","16344.6912684509","145998.848619436","80657.597865779","89267.8158812349","102971.607286377","35861.3775445769","95931.9451431275","127654.588120984","147932.415817305","86787.7695796074","284050.755896992","218348.000834074","88779.5196100438"
"245.1/48","68707.5411108633","74185.2028071477","14174.5755986439","72078.3013489306","42707.234732216","35529.2760718919","7190.97221783692","25878.223538693","38265.8998962534","68663.4090714007","14209.9770439453","26603.386263326","193009.664257243","98643.0681195781","19898.9768880286"
"253.1/34","863.189001786872","0","0","0","0","7149.08456140873","102970.613239701","0","15928.9373291016","3190.68156743015","2245.47184337443","0","22084.4441235624","3088.85191289482","0"
"253.1/20","2461.43812162627","6689.5228170972","1761.04301390382","10575.7356989081","38536.8820980328","20528.5010893469","6253.44678137207","22676.6181389873","105284.235340897","18283.7447325532","20379.4135430277","31820.7976556714","72496.0571847808","50650.2343829886","39427.9967774187"
"255.1/39","371900.036118616","54618.5421881976","25379.9494655225","111519.981410606","110236.882375753","172946.316651291","107515.490074878","124435.776158884","44475.8393193054","157903.318051977","185208.021459866","200715.068641702","186972.901979644","158466.424681286","56668.5923230732"
"257.1/42","33413.9337566355","37502.4546062174","6392.34618177346","56668.5021659598","170524.091953542","9654.16641943359","7351.84460849609","34535.3644904492","9092.46688637137","64785.2276117792","114948.500720552","80497.8892247155","114993.910532226","68323.7477987185","27464.8338800507"
"259.1/64","58612.5854562717","102233.047893604","6776.35712034651","73416.0235001628","44128.3905066848","28445.1529095415","31402.8449195069","25224.2188639208","0","33528.3742954955","61156.258463786","15244.171012749","44227.3243033055","41224.4300229773","934.038152217399"
"261.1/30","98986.3206552204","221188.490853795","48183.9427291228","788499.237860281","583044.640888693","991951.382047137","254215.844206207","648019.176599287","136966.775960124","865164.738657256","1025485.75200088","1259527.45565438","253551.116890723","764772.056905927","281905.256803644"
"263.1/33","63500.6994868655","99947.1331443435","24321.4818724915","345609.111708239","317177.866741168","385287.300914412","134589.092041553","331305.672868732","25523.0167045542","420282.895170866","441371.267556865","675233.852345746","60518.7576380114","469609.533247396","88434.1224644901"
"265.1/30","221171.532836681","306493.986925223","1032249.47380201","34438.4020333008","1482675.93036057","4160685.7748373","479065.68034856","67697.253984375","2091854.50995599","1573426.37913198","4544023.73394458","1106187.25500669","2839774.85731836","12300698.802785","3253232.99077511"
"266.2/26","833.902845741017","0","602.694166664345","0","2399.88611528138","16231.8939781965","7574.7788006543","0","303627.724281299","3211.83181921765","16988.1468807859","13566.127836396","26829.3420507163","8568.55747290328","9135.51925789565"
"267.1/33","6874.37013818115","17410.7675432824","2324.6146004581","26602.7541855449","17770.3951099989","34945.1153956205","32444.0595209961","62491.6072297003","75530.2013600329","207656.554841554","20210.0120507812","315905.878285383","16021.5693808594","46977.1564396971","17574.8742502648"
"268.8/64","8643.87272792902","0","0","596508.333375326","565712.524705556","0","441589.121850408","0","0","555826.537829346","96156.9797257334","283158.228803888","668.084129927494","442645.239770358","99978.3408932077"
