"","BurAD24_1","BurAD24_2","BurAD24_3","ColTer10_1","ColTer10_2","ColTer10_3","ColTer282_1","ColTer282_2","ColTer282_3","ColTer291_1","ColTer291_2","ColTer291_3","ColTer331_1","ColTer331_2","ColTer331_3","ColTer6_1","ColTer6_2","ColTer6_3","ColTer91_1","ColTer91_2","ColTer91_3","DyAD56_1","DyAD56_2","DyAD56_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3","TSB-agar_1","TSB-agar_2","TSB-agar_3"
"group","BurAD24","BurAD24","BurAD24","ColTer10","ColTer10","ColTer10","ColTer282","ColTer282","ColTer282","ColTer291","ColTer291","ColTer291","ColTer331","ColTer331","ColTer331","ColTer6","ColTer6","ColTer6","ColTer91","ColTer91","ColTer91","DyAD56","DyAD56","DyAD56","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI","TSB","TSB","TSB"
"185.1/87","0","0","21555.5132833123","21237.8533661578","77374.9573151895","15278.2017950458","17433.1354034096","18112.5815440587","125553.566315361","6380.21400742659","51025.3791568662","0","66209.7213073828","61273.4428409884","37558.7466409669","24720.864630574","89898.6667785197","6067.10698160807","0","21080.2470372575","5561.80582425123","7344.8067716455","30061.7958392048","38311.6381920005","3068.16484234482","0","0","137422.9385424","1410.09412095483","0","12311.9579309545","10792.124091864","0","49513.1528232161","20498.3108943331","43044.2955454811","50496.4178668473","0","48241.3139646252"
"188.9/52","132692.809729338","441612.344970703","213987.215895176","0","204418.142578125","238144.087136758","147069.405242422","271477.047956228","297393.227759838","161528.678421612","284354.708186695","195513.753616094","99855.6914011186","313600.613347381","74804.4985146485","110522.708782959","167262.18384349","0","0","250785.084047722","169974.843733259","48227.3248965637","183075.014048804","320808.569230085","217448.718548437","719122.499149815","230294.511334452","214149.625468865","58431.6680505328","437409.490226736","228199.31149258","120862.383622746","168883.871191156","36929.7756650554","88552.9659486573","79412.3377421581","0","350482.389375781","249879.338333437"
"191.1/70","5438.26342130452","12603.1062567532","74461.3890127232","48734.0949211866","169424.090317615","138290.590486761","39970.4383461277","62028.8437155634","169154.839110553","39509.6790615593","82507.9223870759","111368.987300375","5082.04030741844","115507.749140039","15971.5830585162","9752.92666850835","5658.5194189453","6530.64637222829","79945.6562416492","35539.9441851463","4837.35314942027","43021.1231269531","9124.67163241699","87016.7873271207","26508.6010969848","23197.9159605615","76456.6669943716","136102.145559986","4566.15653942488","0","26848.8646921962","16403.3492582226","88319.8462152779","82578.5169650987","91119.0659480033","195963.334970703","80536.7131694456","151324.810340967","39684.4606860677"
"197.1/50","48936.9623822048","618032.94463499","175715.006585156","760568.407073138","2484278.91877062","2166830.75615405","1975708.00222111","1118499.61546771","1540916.2556954","976592.224630198","665231.885183998","1764669.18474419","36995.691256884","1024839.64502812","732899.666714225","223097.657644121","885365.669590642","150484.643284688","1303361.74071267","92631.6509179689","293475.389534276","129102.736908984","352334.415025915","2601091.8650682","2250434.6926675","4280394.13906349","4046370.35454554","1775922.28252824","107198.583248075","1366486.58459072","2869023.59734103","767421.548239396","5341965.96990385","270242.4735725","3034673.29114827","457740.949752808","2585603.07847916","128017.582443984","1127255.49378961"
"201.1/44","5184.329402229","84609.0839561149","8598.51554687501","115710.746424652","175346.903789073","520824.373279619","89948.7804325852","153888.7165643","258056.228946703","81526.2481317222","37924.0483576462","33830.5812271842","10098.4950317815","62678.565717116","275359.49059296","109898.336467239","140099.990592588","36916.6179873645","77101.4721817324","43507.3539401963","42617.4433694151","9470.51455700684","95582.3681185798","115486.141702301","85373.6275287867","272863.540644447","15227.7907833382","170034.183318675","1496.55772682066","115417.405659948","98319.8205005527","57440.3047175234","7883.35399459582","207388.6411274","265103.209254806","177622.052547598","230304.916031129","24796.4012300409","57472.8150808546"
"207.1/84","0","2319.98343420111","9179.57550439648","4751.76777128213","18648.4283435345","20594.3501721501","0","90737.2588799198","155546.632496516","0","17547.3981932534","28345.5396437654","1148.89179232885","15222.812604446","142225.370136719","15615.7228090186","21102.7671244238","2555.956720125","0","15037.4882057251","7471.7729306072","13259.2829851465","3098.30771384554","11586.0843013823","93370.3894727541","0","13011.3921639654","130185.574215502","0","0","896.863410169375","11919.9161471484","11059.818397512","23188.6187149219","16180.1919228698","36358.7089323503","43013.9652460217","19746.5534086078","22087.7383559346"
"208.2/8","0","16187.0592260658","0","6584.00815222973","23791.7443155563","14176.3491709964","80072.245379323","61132.8763265625","5661.04950539087","52957.1396396539","67978.2270247122","22404.8581655207","15019.5127520813","49293.7300854635","6819.51509595908","5431.10796101939","134598.016624308","0","0","19932.5118819465","0","0","0","26998.9437139182","15932.8879689025","0","10624.8824165203","0","25161.327307634","22078.7272169686","5724608.8056814","7055847.67124396","11537533.1279043","43437.8842495484","107697.737823595","27645.6440636046","25262.056022046","20643.5241172082","65419.4769224333"
"209.1/71","2359.54742094916","22055.8917387426","6891.77257420979","25066.2003766157","26856.3406424314","14175.0614342988","38851.5069826394","16114.6491310497","86524.9774096012","0","0","8525.31148745213","2173.63866459578","46035.4418125351","43470.1411009771","8935.2440523528","9024.75399902341","36452.1238945313","45655.9683065679","8395.9005871892","1398.96955957678","14129.4879291211","25760.33110791","98017.5294289986","24574.2211142331","13403.6734131932","10867.3145578802","226325.142213563","6278.34376289116","19481.1437187195","2105.19058010168","45968.7856144206","168799.709275866","73414.0157738328","25924.6485177978","68135.822420084","11749.9117183983","25176.8986572146","0"
"211.1/59","6055.5254192166","0","8555.35385597994","17195.5120800943","0","50623.2979318996","37525.9753107495","23584.480710119","11365.191017627","0","10925.8325585889","33991.1358061787","7646.10421275464","0","11288.6785125844","0","40683.3100895671","4822.12799273598","19727.4961356539","21010.310464913","0","17689.221349834","1161.35770438922","19229.5492741466","48485.6448649312","72736.8571330657","25695.803414166","1740.56532040904","7902.18806490302","21182.9819366932","65681.1021808553","7475.721046687","1611969.09006738","60582.5436450113","1641.11576069787","19284.1362063192","13140.7427141882","15071.1556237228","0"
