"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"185.1/55","66209.7213073828","38201.9765021205","37558.7466409669","0","119576.994590271","3538.58569977805","90866.1939911165","2604.15453264266","0","11035.0670577023","10792.124091864","106118.960398048","38946.6526356617","17998.9449755982","14135.145084106"
"189/57","99855.6914011186","606338.51886864","74804.4985146485","217448.718548437","719122.499149815","507714.634770751","340914.912611876","137610.791559665","648149.100802362","239282.281945227","120862.383622746","490162.86929862","36929.7756650554","142373.553365237","79412.3377421581"
"197.1/25","185508.036173463","1604188.94018559","1413686.4058848","2896657.17903087","4280394.13906349","1417041.29237189","9323257.54266708","265690.036166815","3504776.77135575","4557357.07077157","413643.347927952","5341965.96990385","270242.4735725","3034673.29114827","615042.162219598"
"207.1/84","0","0","142225.370136719","93370.3894727541","14550.061208155","0","53769.0456774116","0","0","0","11919.9161471484","0","23188.6187149219","16180.1919228698","1053.39218376577"
"208.2/2","26131.0001989369","51577.0271659396","0","22757.2633821673","4351.94788400742","17747.0351064529","0","46790.6719933229","24466.8461037096","5724608.8056814","8769902.67511136","11537533.1279043","48107.5175837399","144611.251500838","35855.9232192022"
"209.1/83","0","9324.93726861477","1553.19395605909","109087.814177104","13473.5346989433","10019.7101562023","43023.4843037724","5746.29075655767","18117.4588238852","37056.9237659914","8226.27082295328","168799.709275866","64350.9801781795","25924.6485177978","8765.29952884823"
"211.1/55","702.24608815005","0","7524.3365813978","0","53711.4161668718","14560.4436195642","27083.6358780861","0","24770.3953928153","17763.5264061391","7475.721046687","1611969.09006738","12967.5911298255","0","19284.1362063192"
"223.2/85","17042.4766514368","8967.94525448978","75731.6238054285","75442.2816884765","0","765.736601888202","215803.712048097","1466.40888473149","0","0","10340.8631186198","0","34428.5909296874","11859.981262207","7230.8679986323"
"226.2/3","1000048.62050015","1570259.4469182","818550.019794596","592214.144212594","622681.787019029","633609.736935879","1357666.39940817","847742.328974708","396346.958112608","1031123.76774585","15023.1231793408","1507235.42405018","80665.0151714412","576664.039622821","283037.743056542"
"235.1/55","9024.38628614377","14862.6810178459","118654.253791875","155154.028291753","130629.011866298","72907.9789594933","999520.547088059","16343.9457792521","365269.452923444","33978.228735937","14306.7773165364","521267.899979204","11832.2775841593","17140.0940850625","29449.3460167968"
"237.1/4","133823.06465065","75159.6920460645","236227.708674341","86828.9993159375","15490.9764126376","7173.7113728602","62459.3710655687","78084.9078758465","119194.272836959","97991.4887812138","18747.363733724","33879.4184257336","66328.8225527832","25694.8151771342","166830.03506474"
"251.2/74","0","0","14156.9077542052","69940.1417007387","8273.10448307991","23821.9584091604","6795.01331132437","0","65805.7585246222","31865.8253813783","16254.2071326172","30302.749892056","17535.8966714963","22600.1377019288","9294.20575390623"
"255.1/26","22303.0743543689","89730.6417030924","3346.29707171273","0","0","1152.61659990484","2080663.80649477","1278669.33695774","24346.8405132661","4724549.2623042","38186.2770827343","11107133.6062725","11078.7459386911","2783.52705753539","9804.15495690404"
"257.2/64","42317.3658449747","63816.4522923628","35297.5624900206","80036.2732325494","260755.599508723","64924.9593836919","97161.200955","18422.733772705","0","92090.8054747979","7776.04022561278","459164.655248639","65228.3293427053","57163.7631649217","154971.633758594"
"258.3/53","14746.6204109192","150416.75597461","66302.3824958485","26240.904986009","0","0","12934.5504865676","12883.8814632548","132476.581597187","0","25372.2585956909","0","6716.80681786296","0","12234.4443976831"
"259.2/60","48913.0804729709","28361.7396742358","98439.6919230465","25218.9762389213","0","15102.7765598733","0","1952.52928614151","20009.5504426223","0","33635.0834405048","0","13832.9445534994","4464.12119535015","5634.78842480469"
"261.1/10","3625300.25989776","1637215.49367502","161499.735042436","3801201.57666818","2734334.25684636","3052630.41902529","14944177.5370151","3876276.08846079","4753583.04930264","1643734.75898528","90500.3679101563","4437856.68301602","2252682.81015234","2191382.44172986","1077951.05817083"
"277.1/46","57063.8502167717","15182.0653819025","219944.820539191","382340.63964884","207364.052607653","99774.1290140938","404429.026129793","123602.248847783","280858.657207489","123034.326669812","10338.7040683984","331123.876621875","48061.2571624272","83659.8785860572","133560.289337205"
"283.2/78","0","0","2639.5153355822","25622.557494751","0","0","3027.28292644909","0","22175.8580358028","0","10929.4848669718","54768.316719743","2638.74641105905","0","1619.3428663956"
"287.1/2","203525.415682725","4749175.65599936","1186149.84582387","216074.999501878","480309.827816104","343635.953803269","666845.395647868","821663.827879186","57605.1138779658","62751.8899531117","32212.8278238932","310296.15329829","256485.022542006","75180.8728928868","638958.465152674"
"291.3/80","87390.6303080082","165595.788235259","93983.5341489036","105428.600857422","199633.70257616","227094.156874296","47200.5767862558","71950.6772143245","422877.021444753","204007.932502523","66888.8288225392","178434.585802812","152464.544977225","150976.80521875","10445.2282817383"
