m/z;Intensity
150.008;7
150.0087;9.4
150.0094;11
150.0101;10.8
150.0108;8.2
150.015;10.8
150.0157;13.6
150.0164;14.9
150.0171;13.5
150.0178;9.4
150.0344;21.2
150.0351;22.3
150.0358;23.4
150.0365;22.7
150.0372;19
150.0441;10.8
150.0448;13.5
150.0455;15
150.0462;13.7
150.0469;7.9
150.0803;9.4
150.0809;19.8
150.0816;26.3
150.0823;25.2
150.083;17.2
150.0837;8
150.0928;5.4
150.0934;7.8
150.0941;8.9
150.0948;7.8
150.0955;5.3
150.1171;10.2
150.1178;14.6
150.1185;17.2
150.1192;16
150.1198;11.4
150.1435;11.7
150.1442;15.7
150.1449;17.7
150.1456;16.4
150.1463;12.3
150.1469;7.2
150.2123;9.5
150.213;12.4
150.2137;22.7
150.2144;26.3
150.2151;23.2
150.2158;20.8
150.2165;13.7
150.2652;13.4
150.2659;17.9
150.2666;19.5
150.2673;17.7
150.268;14.4
150.293;7.3
150.2937;17.3
150.2944;20.4
150.2951;17.3
150.2958;13.8
150.4999;7.8
150.5006;12.2
150.5013;14.9
150.502;13
150.5027;5.4
150.5662;11.6
150.5669;17.5
150.5676;19.9
150.5683;18.1
150.569;13.1
150.5746;11.3
150.5753;15.2
150.576;25.5
150.5767;30.8
150.5774;28.8
150.5781;15.7
150.5788;11.5
150.6283;15.4
150.629;18.9
150.6297;18.7
150.6304;16.4
150.6311;12.3
150.6542;22.6
150.6549;28.3
150.6556;31
150.6563;27
150.657;16.9
150.6849;12.6
150.6856;23.2
150.6863;27.4
150.687;23.1
150.6877;13
150.7373;12.3
150.738;18.8
150.7387;20.8
150.7394;18.7
150.7401;13.1
150.7821;9.1
150.7828;11.9
150.7835;12.7
150.7842;11.3
150.7849;8.5
150.8073;7.4
150.808;13.1
150.8087;16.5
150.8094;15.8
150.8101;11.5
150.8108;6.9
150.8269;12.4
150.8276;15.9
150.8283;17.9
150.829;17.2
150.8297;14.2
150.8682;11.2
150.8689;16.9
150.8696;17.9
150.8703;17.3
150.871;15.7
150.885;12.4
150.8857;24.2
150.8864;28.7
150.8871;22.6
150.8878;11
150.8948;6
150.8955;11.2
150.8962;14
150.8969;13.3
150.8976;10.2
150.8983;6.3
150.9158;10.3
150.9165;15.6
150.9172;16.5
150.9179;13.8
150.9186;9.1
150.9431;18.2
150.9438;26
150.9445;28.4
150.9452;24.7
150.9459;17.3
150.9683;54.8
150.969;198
150.9697;360.6
150.9704;414.9
150.9711;313.3
150.9718;127.8
150.9725;15.5
151.0174;7
151.0181;14.6
151.0188;18.8
151.0195;18.1
151.0202;13.5
151.0209;7.3
151.0391;22.6
151.0398;31.3
151.0405;31.5
151.0412;26.1
151.0419;21.1
151.077;5.9
151.0777;11
151.0784;14.6
151.0791;16.2
151.0798;15.3
151.0805;12.1
151.0812;7.3
151.1296;14.2
151.1303;17.7
151.131;18.9
151.1317;16.6
151.1324;10.7
151.1493;5.9
151.15;6.8
151.1507;6.3
151.1514;5.1
151.157;6.6
151.1577;12.9
151.1584;16.1
151.1591;12.9
151.1598;5.9
151.1773;6.5
151.178;8.7
151.1787;9.8
151.1794;8.8
151.1801;5.5
151.1921;11.9
151.1928;15.3
151.1935;17
151.1942;16
151.1949;12.7
151.2153;13.2
151.216;17.4
151.2167;20.6
151.2174;18.9
151.2181;10.1
151.2588;11.3
151.2595;13.5
151.2602;14.2
151.2609;13.3
151.2616;11.1
151.3144;13.4
151.3151;28.7
151.3158;35.9
151.3165;30.4
151.3172;14.8
151.3657;9.9
151.3664;12.3
151.3671;13.2
151.3678;13
151.3685;11.8
151.4037;10.7
151.4044;13.4
151.4051;15.5
151.4058;15.2
151.4065;11.1
151.4755;7.4
151.4762;10.2
151.4769;11.5
151.4776;11.1
151.4783;8.4
151.4987;5.5
151.4994;8.1
151.5001;9.8
151.5009;9.9
151.5016;7.6
151.5812;6.9
151.5819;10
151.5826;12
151.5833;11.6
151.584;9.5
151.7505;10.7
151.7512;14.3
151.7519;16
151.7526;14.7
151.7533;9.9
151.7767;13.9
151.7774;17
151.7781;17.7
151.7788;14.9
151.7795;9.8
151.7802;11.2
151.7809;13.1
151.7816;13.6
151.7823;12.4
151.783;10.2
151.7993;6.5
151.8;12.5
151.8007;15.2
151.8014;13
151.8021;10.6
151.8028;5.9
151.8035;7
151.8042;6.2
151.8198;14.8
151.8205;19.1
151.8212;21.8
151.8219;20.8
151.8226;16.1
151.8311;13.7
151.8318;16.3
151.8325;16.5
151.8332;16.8
151.8339;16.7
151.8346;13.2
151.8685;7
151.8692;10.9
151.8699;12.6
151.8706;10.9
151.8713;8
151.9194;5.1
151.9201;9.1
151.9209;10.4
151.9216;8.8
151.9223;5.2
151.9414;10.5
151.9421;14.6
151.9428;17.6
151.9435;18.3
151.9442;14.8
151.9449;7.7
151.9668;5.8
151.9675;9.3
151.9683;10.7
