m/z;Intensity
150.0121;23.8
150.0698;21.7
150.1587;29.2
150.1665;36.5
150.1972;23.5
150.3321;34.5
150.3361;35
150.353;47
150.3906;24.6
150.392;32.3
150.3931;28.8
150.4054;21.4
150.4289;25.6
150.4683;20.9
150.4725;26.8
150.4895;25.1
150.553;19.7
150.6194;34.3
150.6517;23.4
150.6815;28.9
150.6938;27.7
150.7293;28.7
150.7622;22.1
150.7883;36.4
150.8304;22.9
150.8441;29.6
150.8585;18.5
150.8774;27.5
150.8865;69.5
150.8941;23.8
150.9074;27.6
150.9264;48
150.9296;40.6
150.9418;40.1
150.9706;1677.5
150.9836;41.6
150.9991;19.4
151.004;26.9
151.0172;31.7
151.0305;32.9
151.0397;262
151.0445;31.1
151.0581;20.8
151.063;37
151.138;16
151.154;29.5
151.1861;28
151.1912;33.5
151.2487;28.6
151.3207;27.6
151.3265;22.6
151.3509;25.4
151.3562;28.5
151.4126;20.4
151.4764;46.7
151.4928;19.8
151.5468;21.9
151.5807;26.9
151.6102;30.6
151.6482;25.7
151.6538;25.6
151.7578;31.6
151.781;21.3
151.7874;29.2
151.7957;29
151.8297;19.6
151.8354;31.2
151.8799;25.6
151.8932;25.2
151.968;34.4
152.0355;47.1
152.0453;39.9
152.0682;23.2
152.0785;16.2
152.116;23.6
152.1179;26.8
152.1193;29.6
152.1555;25.1
152.2032;45.7
152.215;31.3
152.2712;18.3
152.3155;22.3
152.3352;25.2
152.3689;26.2
152.4002;20.4
152.4985;36.3
152.5231;22
152.5729;24.6
152.5973;21.7
152.7285;22.5
152.7589;22.5
152.7749;24
152.8078;23.6
152.9324;17.4
152.9504;19.2
152.9861;1232.7
153.0026;25.3
153.0085;34.2
153.0195;40.6
153.0412;29.7
153.0487;31.3
153.0775;29.4
153.1255;21.6
153.1727;27.5
153.1864;19.4
153.19;30
153.1983;22
153.2168;32.7
153.3011;27.6
153.3107;28.9
153.3184;32.2
153.3383;25.9
153.4411;28.9
153.4517;26.2
153.4598;18.4
153.635;30.2
153.6522;22.9
153.6659;27
153.6702;22.7
153.723;34.7
153.7761;34.9
153.7807;36.1
153.8041;43
153.8396;33.2
153.8472;28.9
153.8577;22
153.8706;66.7
153.9114;27.4
153.9451;29.7
153.9785;21.1
153.9804;23.1
153.9818;25.1
153.9891;33.4
154.0111;29
154.0148;27.9
154.0441;22.8
154.0857;28.5
154.1362;29
154.1947;25.9
154.2961;18.6
154.3079;35.9
154.4758;24.1
154.6624;23.9
154.6669;39.5
154.6852;26
154.7715;30.7
154.9115;57.4
154.9187;24.6
154.9195;24.8
154.9279;35.3
155.0182;62
155.1138;22.2
155.1261;29
155.132;45.2
155.1563;25.5
155.1928;23
155.2663;29.2
155.2938;23.8
155.3175;20
155.3733;22.4
155.3747;36.4
155.3758;28.5
155.3848;29
155.409;27.7
155.4332;21.5
155.4464;30.5
155.4564;19.9
155.4944;23.4
155.5371;29.9
155.5572;59.4
155.5732;41.8
155.5804;15.3
155.6273;26.6
155.639;19.9
155.7228;24.6
155.755;18
155.775;51.7
155.7986;25.3
155.8309;33.7
155.8349;31.3
155.8665;28
155.8744;51.2
155.9532;31.5
155.9597;46.9
155.9858;20.2
156.0335;24.5
156.0383;35.7
156.0433;19.2
156.0664;31.8
156.1221;30.2
156.1399;30.7
156.1714;17.1
156.2129;47.3
156.2366;31.6
156.2709;23.1
156.2807;21.5
156.3256;19.4
156.339;27.7
156.3561;29.5
156.486;22.8
156.5164;20.4
156.5572;52.1
156.5961;22.9
156.6689;32.5
156.7307;29.6
156.8473;23.5
156.8797;56.7
156.8887;42.2
156.9183;21.8
156.9448;27
156.9885;39.1
157.0295;25
157.0345;25
157.0415;30
157.1084;46.9
157.1432;28.8
157.153;32.9
157.2735;19.6
157.2872;23.8
157.3095;29.2
157.3883;49.3
157.4132;26.8
157.4191;23.5
157.4716;46.5
157.5;29.4
157.5942;29
157.6252;20.3
157.6758;48.8
157.6979;27.5
157.774;31.3
157.7991;30.7
157.8488;22.7
157.8616;23.8
157.8846;35.1
157.9102;39.5
157.9562;21.3
157.9826;19.7
158.0462;26.6
158.0737;26.3
158.0934;34.5
158.105;20.9
158.143;22.1
158.1492;23.6
158.1723;37.8
158.1811;26.7
158.2524;32.7
158.3151;40.3
158.3323;28.9
158.3371;23.2
158.4182;30.8
158.4468;19.6
158.493;23.2
158.5191;30.9
158.5621;47.9
158.5949;23.8
158.6046;50.6
158.6349;24.8
158.646;29.6
158.6472;28
158.649;24.6
158.6957;29.5
158.7248;31
158.7326;30.3
158.7811;23.5
158.8649;27.2
158.8779;23.9
158.9317;22.5
159.0302;26
159.045;32.1
159.0471;29.8
159.0482;32.8
159.0669;24.7
159.1104;21.5
159.1765;33.8
159.2279;29.6
159.3025;27.6
159.364;20.3
159.372;29.8
159.4647;38.8
159.4856;25.5
159.618;19.2
159.6332;44.3
159.6451;21
159.6609;40.5
159.6752;24.8
159.7064;25.2
159.7226;23.6
159.7764;40.3
159.8873;20.3
159.8982;31.3
159.9077;38.3
159.93;31.8
159.97;31.9
160.0219;23.1
160.0517;27.1
160.0619;33.1
160.0844;55.9
160.1245;47.3
160.191;35.5
160.2441;23.3
160.2542;35.9
160.2571;33.6
160.4148;24.8
160.4586;30
160.4694;32.3
160.48;26.9
160.4985;26.3
160.5021;22.5
160.5419;27.8
160.5761;36.3
160.5937;28.3
160.6208;33.4
160.6691;30.2
160.7091;19.1
160.7437;31.6
160.8032;19.4
160.8147;14.9
160.8629;21.7
160.8671;22.1
161.0166;29.2
161.0321;20.3
161.04;25.4
161.0459;402.9
161.0621;19.4
161.0941;25
161.1289;38.3
161.1964;25
161.2044;20.8
161.2541;27.1
161.2577;25.8
161.2623;30.9
161.3727;27.9
161.4042;19.3
161.4172;29.1
161.4202;27.3
161.4326;21.6
161.5066;32.7
161.5442;22.7
161.5552;20.2
161.5723;15.4
161.6111;20.8
161.6335;33.8
161.6467;26.5
161.6989;36.1
161.7264;37.1
161.7329;20.1
161.7471;27.4
161.7526;39.1
161.8225;20
161.8612;37.1
161.8948;29.3
161.9935;16.2
162.0638;29.2
162.102;25.4
162.1168;24.7
162.1703;32.1
162.1862;27.5
162.2556;24.3
162.2653;31.5
162.2962;25
162.3488;35.5
162.3719;24.9
162.4322;23.5
162.4561;20.8
162.5205;36.6
162.5391;28.9
162.5595;20.4
162.5799;32
162.5959;23.2
162.6007;28.3
162.6053;28.8
162.6484;58.3
162.6589;26.8
162.6804;39.4
162.6967;25
162.796;35.7
162.8771;39
162.8888;31
162.9029;1596.8
163.0195;29.6
163.0249;787
163.0541;35.6
163.0611;224.1
163.0805;34.5
163.0877;30.9
163.1263;50.4
163.1339;27
163.138;32.9
163.2281;27.1
163.2425;29
163.3217;25
163.3427;36.1
163.3873;23.1
163.5208;21
163.5404;20.7
163.5594;25.6
163.5759;20.5
163.5988;28.2
163.6206;17.9
163.7197;26.9
163.8445;32.8
163.896;30.5
164.0283;31.3
164.0411;23.7
164.0629;32
164.0718;23
164.0862;33.1
164.2116;20.4
164.2341;28.3
164.2775;30
164.3372;21.8
164.3422;34.2
164.3436;39.3
164.3452;26.7
164.3544;22.6
164.3618;37.2
164.3636;36.6
164.3652;31.6
164.3772;29.8
164.4079;19.5
164.451;19.8
164.488;13.9
164.5135;37.5
164.5215;22.5
164.6045;31.9
164.6084;26.4
164.637;32.4
164.672;39.6
164.8598;29.3
164.8999;6174
164.948;21.7
164.957;503.1
164.9862;616.4
165.0196;604.1
165.0407;124.5
165.0557;21523.4
165.0803;34.9
165.0917;37.4
165.111;35.4
165.225;24.1
165.2674;26.6
165.3215;20.9
165.3755;26.1
165.3959;63.7
165.4194;27.5
165.4943;33.5
165.5063;20.5
165.5203;40.2
165.522;30.7
165.5504;57.8
165.5828;28.5
165.5961;20.6
165.6019;21.7
165.6167;24.6
165.6738;16.3
165.685;31.7
165.7545;39.8
165.7604;38.3
165.8275;34.9
165.9616;37.6
166.0509;401.5
166.0591;1211.3
166.0975;29
166.1039;30.6
166.1259;36.1
166.1849;37.6
166.1887;35.4
166.2633;25.8
166.299;24.9
166.307;28.6
166.3135;22.5
166.3153;32.5
166.3166;30.7
166.3378;28.1
166.3395;30
166.341;31.7
166.3508;26.2
166.4413;29.8
166.5324;25.8
166.7165;25.8
166.7692;23.4
166.7869;25.4
166.8349;20.4
166.849;26.3
166.8606;2256.2
166.8655;26.9
166.8875;35.4
166.897;246.8
166.936;22
166.9475;48.5
166.9748;55.7
167.0019;8374.8
167.0116;1726.9
167.021;10651
167.0349;378.4
167.0431;22.4
167.0638;24.8
167.0713;1242.4
167.082;227.4
167.0877;20.1
167.1077;292.7
167.1285;48.8
167.136;38.8
167.143;15.7
167.1986;26
167.2408;26.6
167.2963;32.2
167.3888;31.2
167.4293;30.4
167.4741;45
167.4797;16.7
167.4897;28
167.5398;25.3
167.5788;20.5
167.5895;16.6
167.6304;26.3
167.6469;26.7
167.652;47.5
167.7013;22.8
167.9469;18.1
167.9488;28.3
167.9757;20.9
168.0109;22
168.0301;410.6
168.0365;22
168.0665;431.3
168.0785;43.4
168.1714;28.4
168.1946;30.8
168.2444;36.6
168.2744;27.2
168.2985;31.8
168.3252;29
168.3272;35.5
168.3288;28.4
168.3498;28.1
168.4042;21.6
168.477;33.3
168.5087;28.6
168.5324;37.4
168.7271;28.6
168.7504;26.2
168.7993;22.9
168.8094;26.4
168.8362;1806.7
168.8576;2843.9
168.9223;29
168.9409;26.9
168.9583;51.4
168.9634;14975.9
168.968;46.9
168.9807;28.9
168.9857;29.3
169.0005;32
169.0086;241.6
169.0146;248.1
169.0277;24.5
169.0438;24.2
169.0505;4889.6
169.0747;15.4
169.0869;10723.2
169.093;21.2
169.105;20.3
169.1242;24.7
169.1328;29.7
169.1593;34.7
169.1902;29.2
169.2086;43.6
169.2551;23.6
169.2984;21.7
169.3573;40
169.4248;26.9
169.4462;22.2
169.4696;38.9
169.5192;43.9
169.694;19.7
169.7501;23.3
169.7669;21.4
169.8538;26.2
169.8554;31.9
169.8569;24.3
169.868;22.7
169.926;26.3
170.0142;35.9
170.046;208.5
170.0539;20.9
170.0841;32.1
170.0897;26.3
170.106;31.9
170.1075;38.2
170.1193;22.5
170.1281;27.8
170.1324;30.3
170.1681;36.7
170.261;26.5
170.3556;37.8
170.3784;55.9
170.4291;25
170.4306;32
170.4325;30.6
170.4498;20.9
170.4757;21.7
170.5709;32.7
170.5833;24.3
170.6476;25.2
170.6697;24.1
170.7159;29
170.7175;36.8
170.7191;29.9
170.729;19.9
170.7494;41.7
170.7747;23.4
170.7814;30.1
170.7923;24.5
170.8154;23.5
170.8332;3070.4
170.8547;294.8
170.9022;939.6
170.9309;26.4
170.9442;274.1
170.959;71.9
170.9756;70.4
170.989;21.7
171.0297;1884.3
171.0429;7037.9
171.0542;28.3
171.0589;27.6
171.0661;50544.8
171.0768;35.4
171.1025;8439.7
171.1166;30.6
171.1389;3028.9
171.1828;27.5
171.1916;30.4
171.2242;25.5
171.2483;25.6
171.2961;31.5
171.3374;50.1
171.3471;29.9
171.3617;56.8
171.4037;18.5
171.4138;22.5
171.4393;31
171.4452;52.2
171.4585;21.1
171.5064;28.4
171.5411;22.8
171.5658;38
171.599;16.9
171.6484;29.7
171.7134;18.7
171.7545;30
171.756;34.6
171.7577;21.8
171.7758;29.7
171.8229;51.4
171.8904;30.6
171.973;20
171.9969;26.8
172.0114;22.6
172.0328;81.2
172.0411;28.8
172.0432;38.4
172.0454;37.7
172.0485;47.5
172.0614;3808.7
172.0695;2734.8
172.0908;33.4
172.0977;57366.6
172.136;20.1
172.1419;17.6
172.1532;36.3
172.179;25.6
172.2425;27.8
172.3064;33.7
172.3538;24.3
172.3673;25.3
172.4112;20.7
172.4339;19.6
172.4454;39.7
172.4603;25.3
172.4767;28.8
172.5163;27.8
172.632;24.8
172.6952;29.4
172.7295;24
172.7441;41.1
172.7802;28
172.8024;28.2
172.8299;974.4
172.8993;33.9
172.9631;20.7
172.9719;27.6
173.009;1221.9
173.0262;56.6
173.0399;2318.2
173.0454;11633.8
173.0818;17099.1
173.093;1804
173.1011;3027.3
173.1183;520.2
173.1421;34.3
173.1662;25.9
173.1862;31
173.2034;30.9
173.3002;25.2
173.3604;23.9
173.3626;32.9
173.3638;27.5
173.4345;50.9
173.4542;21.8
173.5098;39.2
173.5675;21.7
173.6024;17.1
173.6609;20.3
173.6782;24.9
173.6848;29.2
173.6944;35.7
173.718;28.1
173.7288;24.9
173.7433;34.6
173.7913;24.2
173.8167;27.5
173.8897;27.5
173.8947;31.9
173.9816;24.1
174.0119;55.4
174.0406;9532.1
174.0489;24.9
174.0559;8068.7
174.0767;148.2
174.0849;123.4
174.0889;24.8
174.1545;48
174.1948;19.2
174.2997;37.7
174.408;20.8
174.4772;38.8
174.4817;27.3
174.4882;24.7
174.5603;22.5
174.5783;27.4
174.6055;22.7
174.6575;21.4
174.6718;22.9
174.7513;24.8
174.7695;22.5
174.8079;28.6
174.8173;24.1
174.882;58.5
174.8858;22.2
174.9689;21.3
174.9778;3789.6
174.9824;30.5
174.9988;62
175;68.9
175.0143;128.4
175.0246;10281.2
175.0439;25.6
175.0611;7175.7
175.0709;27.3
175.098;43.8
175.1043;20.2
175.1426;18.3
175.1514;27.9
175.1681;22.8
175.1988;22
175.2572;16.7
175.3181;27.5
175.3276;28.8
175.3398;28
175.4456;30.6
175.4685;19.3
175.5023;15.2
175.5178;30.7
175.5218;33.6
175.5724;23.1
