m/z;Intensity
150.1185;10.7
150.1192;14.8
150.1198;16.7
150.1205;14.8
150.1212;10.6
150.1602;10.5
150.1608;17.7
150.1615;22.8
150.1622;23.3
150.1629;19.2
150.1636;12.6
150.1977;12.1
150.1984;14.9
150.1991;15.9
150.1998;14.2
150.2005;24.7
150.2012;22.1
150.2019;24.9
150.2026;22.5
150.2033;15.9
150.2881;6.7
150.2888;10.1
150.2895;12.4
150.2902;12.7
150.2909;9.8
150.2972;9.3
150.2979;16.3
150.2986;19.5
150.2993;18.4
150.3;15
150.3007;11.8
150.3236;6.5
150.3243;11.5
150.325;14.5
150.3257;26.5
150.3264;35.1
150.3271;32.2
150.3278;32.7
150.3285;26.5
150.3292;15.7
150.3313;14.1
150.332;20.4
150.3327;23.6
150.3334;23.9
150.3341;21.7
150.3348;17.1
150.394;15.4
150.3947;22.7
150.3954;25.4
150.3961;21.8
150.3968;15.2
150.4232;10.3
150.4239;14.9
150.4246;16.1
150.4253;14.4
150.426;10.6
150.4546;10.7
150.4553;16.6
150.456;19.1
150.4567;17.1
150.4574;12.3
150.493;9.5
150.4937;19.2
150.4944;25.4
150.4951;24.8
150.4957;18.4
150.4964;10.9
150.502;14.6
150.5027;18.8
150.5034;20.3
150.5041;20.1
150.5048;16.6
150.5202;8.2
150.5209;12.6
150.5216;14.6
150.5223;12.4
150.523;7.6
150.5676;10.5
150.5683;14.5
150.569;16
150.5697;14
150.5704;7.9
150.5865;14.7
150.5872;20.4
150.5878;24.2
150.5885;22.7
150.5892;14.8
150.5976;11.9
150.5983;13.8
150.599;14.2
150.5997;14.4
150.6004;13.6
150.6011;11.4
150.6158;10.3
150.6165;19.6
150.6172;25.2
150.6179;24.2
150.6186;16.8
150.6242;8
150.6249;12.4
150.6256;14.9
150.6263;14.4
150.6269;11.2
150.6332;8.9
150.6339;11
150.6346;12
150.6353;12.4
150.636;12.6
150.6367;12.1
150.6374;9.9
150.6381;6.3
150.65;16.6
150.6507;25.9
150.6514;30.2
150.6521;27.4
150.6528;18.4
150.6737;14.5
150.6744;19.2
150.6751;20.3
150.6758;18.3
150.6765;13.4
150.7373;12.5
150.738;20.7
150.7387;22.8
150.7394;19.7
150.7401;14.1
150.7541;17.3
150.7548;23.2
150.7555;27.4
150.7562;25.1
150.7569;16.1
150.7821;11.1
150.7828;16.3
150.7835;17
150.7842;13.2
150.7849;7.3
150.8752;15.9
150.8759;22.8
150.8766;26.5
150.8773;27.4
150.878;26
150.8787;21.7
150.8794;14
150.8864;10
150.8871;14.6
150.8878;15.8
150.8885;12.9
150.8892;7.4
150.906;11.4
150.9067;13.9
150.9074;16.8
150.9081;17.7
150.9088;14.7
150.9095;9.3
150.9676;70
150.9683;296.3
150.969;1099
150.9697;2219.7
150.9704;2906.2
150.9711;2635.1
150.9718;1599.2
150.9725;547.1
150.9732;108.9
150.9739;45.2
150.9746;41.2
150.9753;28.9
150.976;8.6
151.0391;3.2
151.0398;15.1
151.0405;21.5
151.0412;16.7
151.0419;3.3
151.051;8.4
151.0517;12.8
151.0524;13.5
151.0531;12.8
151.0538;11.9
151.1345;9.3
151.1352;16.8
151.1359;18.9
151.1366;14.1
151.1373;4.6
151.1738;11.8
151.1745;20.7
151.1752;25.2
151.1759;22.5
151.1766;13.5
151.3031;11.3
151.3038;14.9
151.3045;17.5
151.3052;14.5
151.3059;6.5
151.3594;12
151.3601;16.9
151.3608;18.7
151.3615;18.2
151.3622;14.7
151.3629;6.7
151.3875;8.2
151.3882;14.4
151.3889;17.8
151.3896;17.2
151.3903;12.6
151.3924;7
151.3931;11.3
151.3938;12.9
151.3945;11.2
151.3952;7.2
151.4044;17
151.4051;22
151.4058;25.9
151.4065;25.3
151.4072;20.2
151.4079;13.6
151.4164;12.5
151.4171;19.3
151.4178;24.2
151.4185;25
151.4192;19.3
151.4199;9
151.4382;22
151.4389;28.1
151.4396;29.8
151.4403;25.2
151.441;16
151.4748;18.5
151.4755;26.1
151.4762;28.3
151.4769;22.5
151.4776;10.9
151.5882;7.9
151.5889;13.5
151.5896;16.1
151.5904;14.7
151.5911;10
151.5946;10.4
151.5953;14.6
151.596;17.4
151.5967;17.4
151.5974;14.2
151.5981;8.9
151.6073;10
151.608;17.8
151.6087;20.1
151.6094;18.8
151.6101;16.4
151.6461;9.4
151.6468;12.9
151.6475;14.5
151.6482;13.2
151.6489;9.4
151.6623;13.3
151.663;18.1
151.6637;20.9
151.6644;20.5
151.6651;16.2
151.6686;7.2
151.6693;13.9
151.6701;18.1
151.6708;17.8
151.6715;12.4
151.7082;10.7
151.7089;23.2
151.7096;32.1
151.7103;34.2
151.711;28.9
151.7117;19
151.7131;12.1
151.7138;23.1
151.7145;29.7
151.7152;29.6
151.7159;22.9
151.7166;12.1
151.7265;8.2
151.7272;25.9
151.7279;31.9
151.7286;25.2
151.7293;12.3
151.7308;17.6
151.7315;22.4
151.7322;24.3
151.7329;22.4
151.7336;30.6
151.7343;22.2
151.735;25
151.7357;22.5
151.7364;15.5
151.8671;9.6
151.8678;17.8
151.8685;21.4
151.8692;18.9
151.8699;12.9
151.8989;12.7
151.8996;18.2
151.9003;21.3
151.901;19.9
151.9018;15.1
151.9166;12.8
151.9173;18.3
